Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
RG Sharma (INDIA),3,3,1,217,208*,108.5,180,120.55,1,0,0,13,13,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AT Rayudu (INDIA),5,4,1,217,100,72.33,214,101.4,1,1,0,19,5,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
AJ Finch (AUS),5,5,0,213,107,42.6,228,93.42,1,1,0,21,3,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,5,1,212,92*,53,222,95.49,0,1,0,17,4,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
Yuvraj Singh (INDIA),3,3,0,210,150,70,196,107.14,1,0,0,28,5,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
SR Watson (AUS),6,6,2,208,67,52,195,106.66,0,2,0,22,4,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
SK Raina (INDIA),6,4,1,204,110*,68,197,103.55,1,1,0,19,5,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
S Dhawan (INDIA),6,6,0,202,100,33.66,227,88.98,1,0,0,25,6,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
MS Dhoni (INDIA),6,4,2,201,85*,100.5,208,96.63,0,2,0,14,5,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
KL Rahul (INDIA),3,3,2,196,100*,196,235,83.4,1,1,0,15,3,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
TM Head (AUS),5,5,0,194,63,38.8,164,118.29,0,3,0,28,1,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
MS Dhoni (INDIA),3,3,2,193,87*,193,264,73.1,0,3,0,9,3,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,5,0,192,80,38.4,270,71.11,0,1,0,14,5,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
V Kohli (INDIA),3,3,0,191,75,63.66,210,90.95,0,2,0,17,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
