Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
JP Faulkner (AUS),2,2,15.5,1,104,1,Jan-67,104,6.56,95,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),1,1,10,0,64,1,Jan-64,64,6.4,60,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
AR Patel (INDIA),2,2,17,1,94,1,Jan-54,94,5.52,102,0,0,25-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
Washington Sundar (INDIA),1,1,10,0,65,1,Jan-65,65,6.5,60,0,0,13-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,
NM Lyon (AUS),2,2,17,0,70,1,Jan-38,70,4.11,102,0,0,21-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,22.3,0,156,1,Jan-70,156,6.93,135,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
SN Thakur (INDIA),1,1,10,0,51,1,Jan-51,51,5.1,60,0,0,17-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
DL Chahar (INDIA),1,1,4,0,37,1,Jan-37,37,9.25,24,0,0,25-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
UT Yadav (INDIA),2,2,20,0,142,1,Jan-78,142,7.1,120,0,0,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,
NM Coulter-Nile (AUS),1,1,3,0,26,1,26-Jan,26,8.66,18,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
PJ Cummins (AUS),3,3,26,4,112,1,27-Jan,112,4.3,156,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,3,7,0,41,1,16-Jan,41,5.85,42,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
XJ Doherty (AUS),1,1,7,0,60,0,-,-,8.57,-,0,0,8-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
V Kohli (INDIA),6,1,1,0,7,0,-,-,7,-,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MR Marsh (AUS),2,2,4,0,36,0,-,-,9,-,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
RG Sharma (INDIA),6,1,3,0,21,0,-,-,7,-,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MG Johnson (AUS),1,1,6,1,68,0,-,-,11.33,-,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
MR Marsh (AUS),1,1,1,0,11,0,-,-,11,-,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
V Kohli (INDIA),3,1,2,0,12,0,-,-,6,-,0,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
MK Tiwary (INDIA),3,1,1,0,6,0,-,-,6,-,0,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
MR Marsh (AUS),1,1,3,0,26,0,-,-,8.66,-,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
SR Watson (AUS),1,1,2,0,12,0,-,-,6,-,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
JL Pattinson (AUS),2,2,15,1,109,0,-,-,7.26,-,0,0,8-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
MP Stoinis (AUS),1,1,4,0,17,0,-,-,4.25,-,0,0,11-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
STR Binny (INDIA),1,1,8,0,63,0,-,-,7.87,-,0,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
V Kohli (INDIA),5,2,2.2,0,15,0,-,-,6.42,-,0,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
Gurkeerat Singh (INDIA),3,3,10,0,68,0,-,-,6.8,-,0,0,17-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
V Kohli (INDIA),5,2,3,0,20,0,-,-,6.66,-,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
B Kumar (INDIA),2,2,17,0,111,0,-,-,6.52,-,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
GJ Maxwell (AUS),4,4,19,0,111,0,-,-,5.84,-,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
RG Sharma (INDIA),5,1,1,0,11,0,-,-,11,-,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
SPD Smith (AUS),5,2,4,0,36,0,-,-,9,-,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,3,10,0,71,0,-,-,7.1,-,0,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
KW Richardson (AUS),1,1,10,1,64,0,-,-,6.4,-,0,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
AJ Finch (AUS),7,3,8,0,40,0,-,-,5,-,0,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
TM Head (AUS),1,1,6,0,29,0,-,-,4.83,-,0,0,13-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
AJ Finch (AUS),5,1,2,0,7,0,-,-,3.5,-,0,0,21-Aug-16,Australia
