Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
PJ Cummins (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
MA Starc (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
R Ashwin (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
SM Boland (AUS),4,-,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,23-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
JR Hazlewood (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
NM Lyon (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,20-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
JS Paris (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
KW Richardson (AUS),3,-,-,-,-,-,-,-,-,-,-,-,-,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
BB Sran (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
SM Boland (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,19-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
YS Chahal (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
MS Dhoni (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
KM Jadhav (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
DS Kulkarni (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
AR Patel (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
BB Sran (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
SM Boland (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,31-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
JR Hazlewood (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,21-Aug-16,Australia
