Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
NM Coulter-Nile (AUS),3,3,27.4,2,151,5,Feb-38,30.2,5.45,33.2,0,0,7-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
DS Kulkarni (INDIA),3,3,25.2,3,90,5,Feb-31,18,3.55,30.4,0,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
SM Boland (AUS),3,3,27,2,171,5,Mar-67,34.2,6.33,32.4,0,0,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
JW Hastings (AUS),4,4,31,0,215,5,Mar-57,43,6.93,37.2,0,0,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,3,29,1,228,5,Feb-79,45.6,7.86,34.8,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,25,1,155,5,Mar-49,31,6.2,30,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
MA Starc (AUS),3,3,27.3,2,133,5,29-Apr,26.6,4.83,33,1,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
YS Chahal (INDIA),4,4,40,1,188,5,Feb-43,37.6,4.7,48,0,0,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
B Kumar (INDIA),4,4,34.4,2,169,5,May-42,33.8,4.87,41.6,0,1,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
JJ Bumrah (INDIA),4,4,31,3,162,5,Feb-51,32.4,5.22,37.2,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
B Kumar (INDIA),4,4,28.1,2,126,5,9-Mar,25.2,4.47,33.8,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
B Kumar (INDIA),3,3,30,0,193,5,Mar-45,38.6,6.43,36,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
JR Hazlewood (AUS),3,3,29,0,148,5,Mar-39,29.6,5.1,34.8,0,0,21-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
JA Richardson (AUS),3,3,27,1,214,5,Mar-92,42.8,7.92,32.4,0,0,16-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
YS Chahal (INDIA),3,3,30,1,160,5,Mar-41,32,5.33,36,0,0,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,
Mohammed Shami (INDIA),3,3,29.4,0,151,5,Mar-58,30.2,5.08,35.6,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
Harbhajan Singh (INDIA),3,3,30,0,110,4,Feb-35,27.5,3.66,45,0,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
A Mishra (INDIA),4,4,40,1,218,4,Feb-47,54.5,5.45,60,0,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
SM Boland (AUS),2,2,19,0,120,4,Feb-59,30,6.31,28.5,0,0,6-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
NM Lyon (AUS),2,2,20,2,79,4,Mar-39,19.75,3.95,30,0,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
MR Marsh (AUS),7,6,39,2,173,4,Mar-32,43.25,4.43,58.5,0,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
BB Sran (INDIA),3,3,24,1,99,4,17-Feb,24.75,4.12,36,0,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
MR Marsh (AUS),5,5,40,0,270,4,Feb-68,67.5,6.75,60,0,0,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
HH Pandya (INDIA),4,4,26,0,141,4,31-Mar,35.25,5.42,39,0,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
AR Patel (INDIA),5,5,43.1,1,186,4,9-Feb,46.5,4.3,64.7,0,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
JP Faulkner (AUS),2,2,15.2,0,95,4,26-Feb,23.75,6.19,23,0,0,6-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
TM Head (AUS),5,5,34.4,0,195,4,Feb-65,48.75,5.62,52,0,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
A Zampa (AUS),2,2,19,0,116,4,Mar-55,29,6.1,28.5,0,0,22-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
RA Jadeja (INDIA),3,3,30,0,157,4,Feb-62,39.25,5.23,45,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
JP Faulkner (AUS),2,2,15,0,88,4,Mar-59,22,5.86,22.5,0,0,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,
MA Starc (AUS),2,2,20,1,121,4,Mar-62,30.25,6.05,30,0,0,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,
JJ Bumrah (INDIA),5,5,42,1,210,4,28-Feb,52.5,5,63,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
RA Jadeja (INDIA),5,5,42,0,249,4,Feb-43,62.25,5.92,63,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
HH Pandya (INDIA),5,5,39,1,233,4,Feb-43,58.25,5.97,58.5,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
R Ashwin (INDIA),3,2,19,1,75,4,28-Mar,18.75,3.94,28.5,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
Mohammed Shami (INDIA),2,2,20,2,81,4,Apr-48,20.25,4.05,30,1,0,2-Jul-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
HH Pandya (INDIA),4,4,27.2,0,151,4,Feb-50,37.75,5.52,41,0,0,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
PJ Cummins (AUS),5,5,47,3,220,4,Feb-54,55,4.68,70.5,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
UT Yadav (INDIA),1,1,10,0,71,4,Apr-71,17.75,7.1,15,1,0,28-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
A Zampa (AUS),3,3,27,0,188,4,Feb-59,47,6.96,40.5,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
YS Chahal (INDIA),3,3,28,1,134,4,Feb-36,33.5,4.78,42,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,3,25,2,114,4,Feb-43,28.5,4.56,37.5,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,25,1,127,4,Feb-49,31.75,5.08,37.5,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,
HH Pandya (INDIA),6,6,44,0,216,4,Feb-30,54,4.9,66,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
SN Thakur (INDIA),1,1,8.5,0,52,4,Apr-52,13,5.88,13.2,1,0,16-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
AC Agar (AUS),5,5,42,2,232,4,Feb-48,58,5.52,63,0,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
AJ Tye (AUS),3,3,28,1,223,4,Feb-42,55.75,7.96,42,0,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
KK Ahmed (INDIA),2,2,20,1,93,4,Mar-48,23.25,4.65,30,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
MA Starc (AUS),3,3,28,2,155,4,Feb-51,38.75,5.53,42,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
MP Stoinis (AUS),3,3,28.2,0,172,4,Feb-66,43,6.07,42.5,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,21,1,110,4,Feb-45,27.5,5.23,31.5,0,0,28-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
DS Kulkarni (INDIA),2,2,15,0,76,3,Feb-34,25.33,5.06,30,0,0,21-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
SK Raina (INDIA),3,3,20,0,99,3,Mar-45,33,4.95,40,0,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
NM Coulter-Nile (AUS),1,1,4.4,0,13,3,13-Mar,4.33,2.78,9.3,0,0,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
